id,make,model,model_year,kilometers,transmission_type,price,priced_at,mileage_category,extra_features_count,model_age,price_moving_avg,competitor_price_diff,popularity,price_change_pct,dt_year,dt_month,dt_day,dt_quarter
5302,Nissan,Juke,2012,130000.0,Automatic,318000,2022-12-13,100k-150k,9,10,317000,50940.47619047621,0.31,-0.06470588235294117,2022,12,13,4
16400,Nissan,Juke,2012,69999.0,Automatic,379000,2023-01-01,50k-100k,26,11,315600,111940.47619047621,0.31,0.19182389937106925,2023,1,1,1
18335,Nissan,Juke,2012,139999.0,Automatic,352000,2023-01-20,100k-150k,26,11,324200,84940.47619047621,0.31,-0.0712401055408971,2023,1,20,1
12503,Nissan,Juke,2012,159999.0,Automatic,313000,2023-01-21,150k-200k,26,11,341800,45940.47619047621,0.31,-0.11079545454545459,2023,1,21,1
12627,Nissan,Juke,2012,119999.0,Automatic,355000,2023-01-21,100k-150k,10,11,340400,87940.47619047621,0.31,0.13418530351437696,2023,1,21,1
13268,Nissan,Juke,2012,180000.0,Automatic,292000,2023-01-22,150k-200k,6,11,343400,24940.476190476213,0.31,-0.17746478873239435,2023,1,22,1
9215,Nissan,Juke,2012,180000.0,Automatic,287000,2023-01-23,150k-200k,9,11,338200,19940.476190476213,0.31,-0.017123287671232834,2023,1,23,1
16805,Nissan,Juke,2012,159999.0,Automatic,303000,2023-01-24,150k-200k,15,11,319800,35940.47619047621,0.31,0.05574912891986061,2023,1,24,1
14650,Nissan,Juke,2012,180000.0,Automatic,297000,2023-01-29,150k-200k,26,11,310000,29940.476190476213,0.31,-0.01980198019801982,2023,1,29,1
208,Nissan Motor Egypt,Juke,2012,147000.0,Automatic,324000,2023-02-18,100k-150k,10,11,306800,56940.47619047621,0.31,0.09090909090909083,2023,2,18,1
16738,Nissan Motor Egypt,Juke,2012,138000.0,Automatic,328000,2023-02-19,100k-150k,26,11,300600,60940.47619047621,0.31,0.012345679012345734,2023,2,19,1
2839,Nissan,Juke,2012,159999.0,Automatic,316000,2023-03-05,150k-200k,26,11,307800,48940.47619047621,0.31,-0.03658536585365857,2023,3,5,1
4652,Nissan Motor Egypt,Juke,2012,150000.0,Automatic,295000,2023-03-19,150k-200k,26,11,313600,27940.476190476213,0.31,-0.06645569620253167,2023,3,19,1
19219,Nissan,Juke,2012,200000.0,Automatic,396000,2023-04-04,200k+,26,11,312000,128940.47619047621,0.31,0.34237288135593213,2023,4,4,2
3326,Nissan,Juke,2012,157.0,Automatic,454000,2023-04-08,0-50k,9,11,331800,186940.4761904762,0.31,0.1464646464646464,2023,4,8,2
7746,Nissan,Juke,2012,120000.0,Automatic,391000,2023-04-19,100k-150k,26,11,357800,123940.47619047621,0.31,-0.13876651982378851,2023,4,19,2
20001,Nissan,Juke,2012,159999.0,Automatic,379000,2023-04-23,150k-200k,26,11,370400,111940.47619047621,0.31,-0.03069053708439895,2023,4,23,2
15429,Nissan,Juke,2012,191000.0,Automatic,365000,2023-04-26,150k-200k,26,11,383000,97940.47619047621,0.31,-0.03693931398416883,2023,4,26,2
3529,Nissan,Juke,2012,126000.0,Automatic,422000,2023-04-28,100k-150k,28,11,397000,154940.4761904762,0.31,0.15616438356164375,2023,4,28,2
3572,Nissan,Juke,2012,190000.0,Automatic,390000,2023-04-28,150k-200k,26,11,402200,122940.47619047621,0.31,-0.07582938388625593,2023,4,28,2
4382,Nissan,Juke,2013,179999.0,Automatic,212000,2022-02-02,150k-200k,24,9,389400,-47748.768472906406,0.31,-0.45641025641025645,2022,2,2,1
4486,Nissan,Juke,2013,119999.0,Automatic,193000,2022-02-02,100k-150k,17,9,353600,-66748.7684729064,0.31,-0.089622641509434,2022,2,2,1
9390,Nissan,Juke,2013,89999.0,Automatic,196000,2022-02-07,50k-100k,24,9,316400,-63748.768472906406,0.31,0.015544041450777257,2022,2,7,1
9391,Nissan,Juke,2013,99999.0,Automatic,225000,2022-02-07,50k-100k,26,9,282600,-34748.768472906406,0.31,0.1479591836734695,2022,2,7,1
5582,Nissan,Juke,2013,119999.0,Automatic,217000,2022-02-08,100k-150k,26,9,243200,-42748.768472906406,0.31,-0.03555555555555556,2022,2,8,1
5664,Nissan,Juke,2013,29999.0,Automatic,208000,2022-02-08,0-50k,26,9,208600,-51748.768472906406,0.31,-0.04147465437788023,2022,2,8,1
17788,Nissan,Juke,2013,199999.0,Automatic,207000,2022-02-11,150k-200k,26,9,207800,-52748.768472906406,0.31,-0.004807692307692291,2022,2,11,1
